ClickBench cold/hot — Sat May 30 16:30:53 UTC 2026
Binary: /home/user/Columnar_Database/build-o3-native/clickbench/clickbench
Input:  /home/user/Columnar_Database/src/TestFiles/output.mf

Query   | Cold (ms)    | Hot (ms)    
--------+--------------+-------------
0       | 7590.11      | 458.37      
1       | 807.78       | 808.41      
2       | 8844.62      | 1033.69     
3       | 13663.30     | 1290.30     
4       | 2487.55      | 2559.25     
5       | 20608.10     | 5473.10     
6       | 3645.78      | 251.29      
7       | 637.40       | 637.42      
8       | 10647.80     | 4301.12     
9       | 4714.53      | 4714.34     
10      | 9456.28      | 2143.46     
11      | 7269.23      | 6162.29     
12      | 7697.94      | 7813.77     
13      | 10499.40     | 10572.30    
14      | 13225.60     | 7394.00     
15      | 8519.60      | 8334.16     
16      | 19315.00     | 19169.80    
17      | 19258.50     | 19106.00    
18      | 58425.90     | 50247.80    
19      | 692.75       | 694.19      
20      | 58669.00     | 8270.02     
21      | 9664.45      | 9695.93     
22      | 41184.50     | 12373.90    
23      | 255846.00    | 182473.00   
24      | 5988.54      | 2631.54     
25      | 2256.33      | 2253.10     
26      | 2635.08      | 2627.63     
27      | 7495.62      | 7096.50     
28      | 84769.60     | 74338.20    
29      | 10319.60     | 10274.90    
30      | 13385.60     | 7172.32     
31      | 13034.00     | 10834.60    
32      | 81010.70     | 81045.00    
33      | 41353.40     | 41016.90    
34      | 41223.70     | 40673.70    
35      | 12675.00     | 12545.00    
36      | 6616.09      | 6000.70     
37      | 26261.20     | 4771.28     
38      | 6999.63      | 6886.48     
39      | 28312.90     | 14127.90    
40      | 14454.70     | 9759.62     
41      | 5594.29      | 6540.84     
42      | 2004.88      | 2016.67     
--------+--------------+-------------
Geomean | 10548.37     | 6223.95     
Sum     | 999761.98    | 708590.80   
Max     | 255846.00    | 182473.00   
