ClickBench cold/hot — Sun May 31 18:11:14 UTC 2026
Binary: /home/user/Columnar_Database/build-o3-native/clickbench/clickbench
Input:  src/TestFiles/output_64.mf

Query   | Cold (ms)    | Hot (ms)    
--------+--------------+-------------
0       | 6254.63      | 588.71      
1       | 956.44       | 950.22      
2       | 6569.29      | 1181.07     
3       | 13447.90     | 1176.14     
4       | 2926.26      | 3042.32     
5       | 20813.60     | 6922.47     
6       | 2823.09      | 253.00      
7       | 634.34       | 647.37      
8       | 10201.80     | 4791.08     
9       | 5506.22      | 5363.80     
10      | 8427.79      | 1846.65     
11      | 6029.37      | 2764.53     
12      | 9175.49      | 9257.79     
13      | 12524.30     | 12495.10    
14      | 13904.40     | 8896.60     
15      | 10471.10     | 10391.20    
16      | 24000.50     | 23960.20    
17      | 23454.30     | 23756.00    
18      | 78427.00     | 71235.30    
19      | 667.46       | 666.37      
20      | 50695.80     | 8262.15     
21      | 9696.66      | 9731.76     
22      | 42553.10     | 12350.70    
23      | 249531.00    | 178023.00   
24      | 2670.12      | 2664.14     
25      | 2289.13      | 2264.75     
26      | 2679.45      | 2664.89     
27      | 7524.40      | 6899.08     
28      | 90968.10     | 75601.20    
29      | 12342.80     | 12420.70    
30      | 11709.80     | 8303.01     
31      | 14729.40     | 12178.30    
32      | 108131.00    | 109101.00   
33      | 48476.30     | 49538.30    
34      | 48391.40     | 49456.80    
35      | 15409.10     | 15608.60    
36      | 6652.40      | 6055.91     
37      | 9072.05      | 4797.43     
38      | 7247.38      | 7231.99     
39      | 31081.50     | 10884.40    
40      | 14008.50     | 7480.99     
41      | 8095.20      | 8599.24     
42      | 2019.78      | 2044.84     
--------+--------------+-------------
Geomean | 10600.96     | 6647.96     
Sum     | 1053189.66   | 792349.10   
Max     | 249531.00    | 178023.00   
