ClickBench cold/hot — Sat May 30 17:28:19 UTC 2026
Binary: /home/user/Columnar_Database/build-o3-native/clickbench/clickbench
Input:  /home/user/Columnar_Database/src/TestFiles/output.mf

Query   | Cold (ms)    | Hot (ms)    
--------+--------------+-------------
0       | 8231.42      | 462.28      
1       | 797.80       | 797.47      
2       | 8255.56      | 1043.37     
3       | 13671.90     | 1244.51     
4       | 2569.75      | 2561.01     
5       | 20200.70     | 5384.19     
6       | 3921.63      | 251.28      
7       | 624.65       | 623.62      
8       | 11779.90     | 4726.58     
9       | 5314.38      | 5260.66     
10      | 9224.94      | 1989.85     
11      | 7875.91      | 6599.70     
12      | 11302.80     | 11374.90    
13      | 14445.40     | 14427.80    
14      | 17217.50     | 11031.10    
15      | 18299.20     | 18117.90    
16      | 32428.90     | 32117.90    
17      | 32705.90     | 32129.30    
18      | 84911.60     | 75263.30    
19      | 680.86       | 684.44      
20      | 58682.20     | 8291.81     
21      | 9804.69      | 9801.91     
22      | 42160.80     | 12596.10    
23      | 257544.00    | 186386.00   
24      | 6164.36      | 2653.82     
25      | 2269.98      | 2262.41     
26      | 2629.78      | 2633.90     
27      | 7754.07      | 6976.74     
28      | 88293.20     | 76779.70    
29      | 10295.60     | 10568.10    
30      | 17058.10     | 10312.50    
31      | 18823.30     | 15749.00    
32      | 145476.00    | 145989.00   
33      | 54216.90     | 53876.70    
34      | 58028.40     | 57870.00    
35      | 21730.50     | 21903.90    
36      | 7214.18      | 6199.45     
37      | 27317.60     | 6448.94     
38      | 7080.41      | 7186.26     
39      | 30961.90     | 18961.70    
40      | 16058.50     | 16851.50    
41      | 6147.18      | 6759.24     
42      | 2057.54      | 2045.67     
--------+--------------+-------------
Geomean | 12248.92     | 7375.68     
Sum     | 1202229.88   | 915195.51   
Max     | 257544.00    | 186386.00   
