ClickBench cold/hot — Sat May 30 19:51:51 UTC 2026
Binary: /home/user/Columnar_Database/build-o3-native/clickbench/clickbench
Input:  /home/user/Columnar_Database/src/TestFiles/output.mf

Query   | Cold (ms)    | Hot (ms)    
--------+--------------+-------------
0       | 6831.77      | 478.95      
1       | 839.43       | 838.36      
2       | 8336.26      | 1059.76     
3       | 13663.60     | 1271.99     
4       | 2492.37      | 2545.88     
5       | 19843.10     | 6142.12     
6       | 4327.42      | 280.14      
7       | 665.83       | 666.65      
8       | 10283.80     | 4055.53     
9       | 4789.98      | 4768.67     
10      | 9153.24      | 1804.85     
11      | 7801.71      | 6222.68     
12      | 8779.62      | 8622.16     
13      | 13571.00     | 13412.00    
14      | 14549.10     | 8554.43     
15      | 8566.75      | 8464.77     
16      | 21085.10     | 20577.10    
17      | 22575.80     | 22073.10    
18      | 61948.60     | 53317.60    
19      | 695.72       | 697.19      
20      | 58675.00     | 11208.30    
21      | 13704.60     | 13733.90    
22      | 47963.20     | 22653.70    
23      | 254031.00    | 184183.00   
24      | 7013.52      | 3370.70     
25      | 3022.08      | 3026.38     
26      | 3392.73      | 3372.99     
27      | 10770.20     | 10069.20    
28      | 89775.90     | 79095.70    
29      | 10249.90     | 10198.00    
30      | 13986.50     | 7690.28     
31      | 13255.00     | 11037.00    
32      | 79758.70     | 80774.40    
33      | 43058.80     | 42711.10    
34      | 40369.40     | 40119.50    
35      | 11902.70     | 11891.50    
36      | 9720.86      | 9370.09     
37      | 27411.90     | 8766.66     
38      | 10087.50     | 10363.80    
39      | 36013.90     | 20690.40    
40      | 15465.50     | 10015.30    
41      | 5907.66      | 6639.44     
42      | 2040.58      | 2044.90     
--------+--------------+-------------
Geomean | 11484.62     | 7047.18     
Sum     | 1048377.33   | 768880.17   
Max     | 254031.00    | 184183.00   
