5642186719302103400,1,"Wildberries.ru – Интернет-магазине Автопоиск работает (Mad Wax, The Like Feature Виварка с",1,2013-07-14 20:08:25,2013-07-15,38,693678962,7,832672783979993999,0,2,5,https://produkty%2Fplata-pr-advert279299881/detail.aspx?State=15&tab=user_id=607&lang=&geoa=1&TID=3219013070948/page.google-poigraphic,http://tambov.irr.ru/kategory_id=19420501pa405O4/,0,10282,995,15014,519,1638,1658,37,15,13,800,0,0,31,D�,1,1,0,0,,,1975756,-1,0,,0,1,1369,936,135,2013-07-15 11:26:26,0,0,0,0,windows-1251;charset,1601,0,0,0,6790921537755634610,,532061222,0,0,0,0,0,5,2013-07-14 21:08:47,31,2,2,15983,47,928483209,-1,-1,-1,S0,�,,,0,0,0,0,0,0,0,0,,0,,NH,0,,,,,,,,,,,0,2736134842390696647,-5144962513904770511,0
5816099920965546798,1,"Wildberries.ru – Интернет-магазине Автопоиск работает (Mad Wax, The Like Feature Виварка с",1,2013-07-14 20:08:25,2013-07-15,38,693678962,7,832672783979993999,0,2,5,https://produkty%2Fplata-pr-advert279299881/detail.aspx?State=15&tab=user_id=607&lang=&geoa=1&TID=3219013070948/page.google-poigraphic,http://tambov.irr.ru/kategory_id=19420501pa405O4/,1,10282,995,15014,519,1638,1658,37,15,13,800,0,0,31,D�,1,1,0,0,,,1975756,-1,0,,0,0,1369,936,135,2013-07-15 11:26:26,0,0,0,0,windows-1251;charset,1601,0,0,0,6790921537755634610,,532061222,0,0,0,0,0,5,2013-07-14 21:08:47,31,2,2,15983,52,928483209,-1,-1,-1,S0,�,,,0,0,0,0,228,76,166,0,,0,,NH,0,,,,,,,,,,,0,2736134842390696647,-5144962513904770511,0
8202933174040463995,1,"Convent-менение | продам - Россия) - AUTO.ria.ua ™ - Абхазия, всем! — на MyLove.Ru / Активные матерактеринбург - IRR.ru - знакомства",1,2013-07-15 02:50:25,2013-07-15,38,2005410870,2,3726432183457813423,0,2,5,https://produkty%2Fpulove.ru/kiroverlanet.ru/otdam-soul/topic.aspx#location-1room=19&qset=google.com/iframe-owa.html%3Fhtml5/v12,http://tambov.irr.ru/regist%2F%2Fwww.focused/ваз/211.msg1274&text=мёртвых&lrиски в барнауле отзывы&lr=57&text=record.ru/yandex.ru/msk/plata.ru/yandsearch?text=новить с дней овчарки,0,10282,995,15014,519,1638,788,37,15,13,800,0,0,31,D�,1,1,0,0,,,2932374,-1,0,,0,0,1369,669,135,2013-07-15 16:37:08,0,0,0,0,windows-1251;charset,1601,0,0,0,5836496711165016714,,946161425,0,0,0,0,0,5,2013-07-15 15:40:29,28,2,2,2660,0,1755384953,-1,-1,-1,S0,�,,,0,0,0,3,453,381,0,0,,0,,NH,0,,,,,,,,,,,0,7767871448934589076,-9174019042083583686,0
9029029538642810692,1,"Convent-менение | продам - Россия) - AUTO.ria.ua ™ - Абхазия, всем! — на MyLove.Ru / Активные матерактеринбург - IRR.ru - знакомства",1,2013-07-15 02:50:25,2013-07-15,38,2005410870,2,3726432183457813423,0,2,5,https://produkty%2Fpulove.ru/kiroverlanet.ru/otdam-soul/topic.aspx#location-1room=19&qset=google.com/iframe-owa.html%3Fhtml5/v12,http://tambov.irr.ru/regist%2F%2Fwww.focused/ваз/211.msg1274&text=мёртвых&lrиски в барнауле отзывы&lr=57&text=record.ru/yandex.ru/msk/plata.ru/yandsearch?text=новить с дней овчарки,1,10282,995,15014,519,1638,788,37,15,13,800,0,0,31,D�,1,1,0,0,,,2932374,-1,0,,0,1,1369,669,135,2013-07-15 16:37:08,0,0,0,0,windows-1251;charset,1601,0,0,0,5836496711165016714,,946161425,0,0,0,0,0,5,2013-07-15 15:40:29,28,2,2,2660,0,1755384953,-1,-1,-1,S0,�,,,0,0,0,0,0,0,0,0,,0,,NH,0,,,,,,,,,,,0,7767871448934589076,-9174019042083583686,0
4833301902008689461,0,"Convent-менение | продам - Россия) - AUTO.ria.ua ™ - Абхазия, всем! — на MyLove.Ru / Активные матерактеринбург - IRR.ru - знакомства",1,2013-07-15 06:29:43,2013-07-15,38,2079297311,2,6318919931886478175,0,44,2,https://produkty%2Fpulove.ru/kiroverlanet.ru/otdam-soul/topic.aspx#location-1room=19&qset=google.com/iframe-owa.html%3Fhtml5/v12,http://tambov.irr.ru/regist%2F%2Fwww.focused/ваз/21178/page=/ch/forum9/topnews%2F2010&model=318882,0,10282,995,15014,519,1996,1781,37,0,0,,0,0,10,wR,1,1,0,0,,,161256,-1,0,,0,1,1261,835,135,2013-07-15 10:05:58,0,0,0,0,windows-1251;charset,1601,0,0,0,5423322608698620782,,943682966,0,0,0,0,0,5,2013-07-15 00:23:17,31,2,3,2,18,1210757631,-1,-1,-1,S0,�,,,0,0,0,0,0,0,0,0,,0,,NH,0,,,,,,,,,,,0,-4609272724445047306,-9174019042083583686,0
4923111069131202617,0,"Convent-менение | продам - Россия) - AUTO.ria.ua ™ - Абхазия, всем! — на MyLove.Ru / Активные матерактеринбург - IRR.ru - знакомства",1,2013-07-15 06:29:43,2013-07-15,38,2079297311,2,6318919931886478175,0,44,2,https://produkty%2Fpulove.ru/kiroverlanet.ru/otdam-soul/topic.aspx#location-1room=19&qset=google.com/iframe-owa.html%3Fhtml5/v12,,1,0,0,15014,519,1996,1781,37,0,0,,0,0,10,wR,1,1,0,0,,,161256,0,0,,0,0,1261,835,135,2013-07-15 10:05:58,0,0,0,0,windows-1251;charset,1601,0,0,0,5423322608698620782,,943682966,0,0,0,0,0,5,2013-07-15 00:23:17,31,2,3,2,18,1210757631,-1,-1,-1,S0,�,,,0,0,0,0,0,0,0,0,,0,,NH,0,,,,,,,,,,,0,-296158784638538920,-9174019042083583686,0
4811437580890141166,1,"Призрачный вообеды, трейлер по часы Cara G (Астранильники — Венеджер) 2006 года, Енаки для мужику МКК ОреОре игры в более",1,2013-07-15 06:58:12,2013-07-15,38,2138449387,229,6934326061949495332,0,126,7,https://produkty/placettikhi?page_type=2&matchen_apps.google.dirizia.diary.radiorecord.ru/zoom.prm,http://tambov.irr.ru/pnz/platesTypeSearch.php?linkvac,0,10282,995,15014,519,1368,554,37,15,13,700.2249,0,0,12,D�,1,1,0,0,,,3325730,-1,0,,0,1,1882,742,135,2013-07-15 10:08:27,0,0,0,0,windows-1251;charset,1601,0,0,0,6047206391136223960,,38948076,0,0,0,0,0,5,2013-07-15 10:52:36,50,2,2,15501,0,2034543068,-1,-1,-1,S0,h1,,,0,0,0,0,0,0,0,0,,0,,NH,0,,,,,,,,,,,0,7701697159326593551,1273878477308741020,0
5707657575443475259,1,"Призрачный вообеды, трейлер по часы Cara G (Астранильники — Венеджер) 2006 года, Енаки для мужику МКК ОреОре игры в более",1,2013-07-15 06:58:12,2013-07-15,38,2138449387,229,6934326061949495332,0,126,7,https://produkty/placettikhi?page_type=2&matchen_apps.google.dirizia.diary.radiorecord.ru/zoom.prm,http://tambov.irr.ru/pnz/platesTypeSearch.php?linkvac,1,10282,995,15014,519,1368,554,37,15,13,700.2249,0,0,12,D�,1,1,0,0,,,3325730,-1,0,,0,0,1882,742,135,2013-07-15 10:08:27,0,0,0,0,windows-1251;charset,1601,0,0,0,6047206391136223960,,38948076,0,0,0,0,0,5,2013-07-15 10:52:36,50,2,2,15501,0,2034543068,-1,-1,-1,S0,h1,,,0,0,0,0,449,2,1,0,,0,,NH,0,,,,,,,,,,,0,7701697159326593551,1273878477308741020,0
5656019536630833350,1,"Convent-менение | продам - Россия) - AUTO.ria.ua ™ - Абхазия, всем! — на MyLove.Ru / Активные",1,2013-07-15 12:17:15,2013-07-15,38,826830771,2,8111003705252070631,0,44,7,https://produkty%2Fpulove.ru/kiroverlanet.ru/otdam-soul/topic.aspx#location-1room=19&qset=google.com/iframe-owa.html%3Fhtml5/v12,http://tambov.info/catalog/3184715/?Search,0,10282,995,15014,519,1368,554,37,15,4,700.224,0,0,15,D�,1,1,0,0,,,1057290,-1,0,,0,1,1882,732,135,2013-07-15 14:43:19,0,0,0,0,windows-1251;charset,1601,0,0,0,4942988614880717200,,15973813,0,0,0,0,0,5,2013-07-15 03:18:09,50,1,3,6,0,733798434,-1,-1,-1,S0,�,,,0,0,0,0,0,0,0,0,,0,,NH,0,,,,,,,,,,,0,8976879180760086471,-9174019042083583686,0
6462529349142536466,1,"Convent-менение | продам - Россия) - AUTO.ria.ua ™ - Абхазия, всем! — на MyLove.Ru / Активные",1,2013-07-15 12:17:15,2013-07-15,38,826830771,2,8111003705252070631,0,44,7,https://produkty%2Fpulove.ru/kiroverlanet.ru/otdam-soul/topic.aspx#location-1room=19&qset=google.com/iframe-owa.html%3Fhtml5/v12,http://tambov.info/catalog/3184715/?Search,1,10282,995,15014,519,1368,554,37,15,4,700.224,0,0,15,D�,1,1,0,0,,,1057290,-1,0,,0,0,1882,732,135,2013-07-15 14:43:18,0,0,0,0,windows-1251;charset,1601,0,0,0,4942988614880717200,,15973813,0,0,0,0,0,5,2013-07-15 03:18:09,50,1,3,6,0,733798434,-1,-1,-1,S0,�,,,0,0,0,0,308,70,3,0,,0,,NH,0,,,,,,,,,,,0,8976879180760086471,-9174019042083583686,0
